epoch,train_loss,val_loss
1,0.3472,0.1045
2,0.0905,0.0613
3,0.0608,0.0475
4,0.0474,0.0421
5,0.0391,0.0406
6,0.0324,0.0404
7,0.0285,0.0402
8,0.0249,0.0337
9,0.0215,0.0336
10,0.0195,0.0299
11,0.017,0.0328
12,0.0152,0.0348
13,0.014,0.0318
14,0.0125,0.0289
15,0.0118,0.0296
16,0.0104,0.035
17,0.0089,0.0281
18,0.0082,0.0297
19,0.0088,0.0337
20,0.0079,0.033
21,0.0066,0.0327
22,0.0078,0.0313
23,0.0065,0.0292
24,0.0061,0.0288
25,0.0053,0.0319
26,0.0064,0.0366
27,0.0057,0.0346
28,0.0053,0.0331
29,0.005,0.0343
30,0.0038,0.0391
31,0.0054,0.0389
32,0.0047,0.0368
33,0.0042,0.033
34,0.0034,0.0357
35,0.0046,0.0346
36,0.004,0.0372
37,0.004,0.0295
38,0.0038,0.0326
39,0.0042,0.0346
40,0.0041,0.0298
41,0.0042,0.0272
42,0.0035,0.0343
43,0.0035,0.0281
44,0.0037,0.0319
45,0.0031,0.0334
46,0.0033,0.0374
47,0.0032,0.0298
48,0.0032,0.0355
49,0.0037,0.0328
50,0.0035,0.031
51,0.0026,0.0364
52,0.0028,0.0329
53,0.0034,0.0296
54,0.003,0.0306
55,0.0023,0.0373
56,0.0021,0.0368
57,0.0032,0.03
58,0.003,0.0277
59,0.0036,0.0378
60,0.0025,0.032
61,0.0026,0.0326
62,0.0025,0.037
63,0.0028,0.0326
64,0.0024,0.0341
65,0.003,0.0321
66,0.003,0.0316
67,0.0022,0.0306
68,0.0028,0.034
69,0.0023,0.0324
70,0.0028,0.0346
71,0.0021,0.0351
72,0.0028,0.0349
73,0.0015,0.0399
74,0.0034,0.034
75,0.0021,0.0355
76,0.0024,0.0369
77,0.0021,0.032
78,0.002,0.0282
79,0.0019,0.0302
80,0.0025,0.0329
81,0.0023,0.0371
82,0.0024,0.0276
83,0.0031,0.028
84,0.0022,0.0329
85,0.0019,0.0332
86,0.002,0.0337
87,0.0021,0.0293
88,0.0015,0.0284
89,0.0021,0.0314
90,0.0025,0.0297
91,0.002,0.0294
92,0.0021,0.0301
93,0.0026,0.0328
94,0.0028,0.0262
95,0.0016,0.0317
96,0.0016,0.0328
97,0.0025,0.0277
98,0.0021,0.0295
99,0.0019,0.0287
100,0.0018,0.0286
